,state,year,candidate,candidatevotes,Electoral_College_Votes,candidatevotespercent
0,Alabama,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[695602|944409|18349|14191]",9.0,"[41.59|56.47|1.1|0.85]"
1,Alabama,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[693933|1176394|13088]",9.0,"[36.84|62.46|0.69]"
2,Alabama,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[813479|1266546|19794]",9.0,"[38.74|60.32|0.94]"
3,Alabama,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[795696|1255925|18732]",9.0,"[38.43|60.66|0.9]"
4,Alabama,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[729547|1318250|75570]",9.0,"[34.36|62.08|3.56]"
5,Alabama,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Other']","[849624|1441170|32488]",9.0,"[36.57|62.03|1.4]"
6,Alaska,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[79004|167398|28747|10381]",3.0,"[27.67|58.63|10.07|3.64]"
7,Alaska,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[180365|292267|16061]",3.0,"[36.91|59.81|3.29]"
8,Alaska,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[123594|193841|8762]",3.0,"[37.89|59.42|2.69]"
9,Alaska,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[122640|164676|13179]",3.0,"[40.81|54.8|4.39]"
10,Alaska,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[116454|163387|38557]",3.0,"[36.57|51.32|12.11]"
11,Alaska,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[153778|189951|2673|8897|2270]",3.0,"[43.01|53.12|0.75|2.49|0.63]"
12,Arizona,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[685341|781652|45645|21475]",11.0,"[44.67|50.95|2.98|1.4]"
13,Arizona,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[893524|1104294|14767]",11.0,"[44.4|54.87|0.73]"
14,Arizona,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1034707|1230111|28657]",11.0,"[45.12|53.64|1.25]"
15,Arizona,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1025232|1233654|40368]",11.0,"[44.59|53.65|1.76]"
16,Arizona,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1161167|1252401|190709]",11.0,"[44.59|48.09|7.32]"
17,Arizona,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1672143|1661686|0|51465|0]",11.0,"[49.39|49.09|0.0|1.52|0.0]"
18,Arkansas,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[422768|472940|13421|12652]",6.0,"[45.86|51.31|1.46|1.37]"
19,Arkansas,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[468631|572770|12293]",6.0,"[44.48|54.36|1.17]"
20,Arkansas,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[422310|638017|26290]",6.0,"[38.86|58.72|2.42]"
21,Arkansas,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[394409|647744|27315]",6.0,"[36.88|60.57|2.55]"
22,Arkansas,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[380494|684872|64530]",6.0,"[33.68|60.61|5.71]"
23,Arkansas,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[423932|760647|2980|13133|18377]",6.0,"[34.78|62.4|0.24|1.08|1.51]"
24,California,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[5861203|4567429|418707|118517]",55.0,"[53.45|41.65|3.82|1.08]"
25,California,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[6737355|5501496|144827]",55.0,"[54.41|44.43|1.17]"
26,California,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[8274473|5011781|275646]",55.0,"[61.01|36.95|2.03]"
27,California,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[7854285|4839958|344304]",55.0,"[60.24|37.12|2.64]"
28,California,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[8753788|4483810|943997]",55.0,"[61.73|31.62|6.66]"
29,California,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[11110250|6006429|81029|187895|115278]",55.0,"[63.48|34.32|0.46|1.07|0.66]"
30,Colorado,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[738227|883745|91434|27959]",9.0,"[42.39|50.75|5.25|1.61]"
31,Colorado,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1001732|1101255|26643]",9.0,"[47.04|51.71|1.25]"
32,Colorado,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1288576|1073589|39196]",9.0,"[53.66|44.71|1.63]"
33,Colorado,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1322998|1185050|61169]",9.0,"[51.49|46.12|2.38]"
34,Colorado,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1338870|1202484|238866]",9.0,"[48.16|43.25|8.59]"
35,Colorado,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1804352|1364607|8986|52460|26575]",9.0,"[55.4|41.9|0.28|1.61|0.82]"
36,Connecticut,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[816015|561094|64452|17964]",7.0,"[55.91|38.44|4.42|1.23]"
37,Connecticut,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[857488|693826|27455]",7.0,"[54.31|43.95|1.74]"
38,Connecticut,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1000291|628041|18753]",7.0,"[60.73|38.13|1.14]"
39,Connecticut,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[905083|634892|18828]",7.0,"[58.06|40.73|1.21]"
40,Connecticut,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[897572|673215|76749]",7.0,"[54.48|40.86|4.66]"
41,Connecticut,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1080831|714717|7538|20230|541]",7.0,"[59.26|39.19|0.41|1.11|0.03]"
42,Delaware,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[180068|137288|8307|1866]",3.0,"[54.98|41.92|2.54|0.57]"
43,Delaware,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[200141|171651|3378]",3.0,"[53.35|45.75|0.9]"
44,Delaware,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[255459|152374|4579]",3.0,"[61.94|36.95|1.11]"
45,Delaware,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[242584|165484|5869]",3.0,"[58.6|39.98|1.42]"
46,Delaware,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[235603|185127|22267]",3.0,"[53.18|41.79|5.03]"
47,Delaware,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen']","[296268|200603|2139|5000]",3.0,"[58.78|39.8|0.42|0.99]"
48,District Of Columbia,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[171923|18073|10576|1322]",,"[85.16|8.95|5.24|0.65]"
49,District Of Columbia,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[202970|21256|3360]",,"[89.18|9.34|1.48]"
50,District Of Columbia,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[245800|17367|2686]",,"[92.46|6.53|1.01]"
51,District Of Columbia,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[267070|21381|5313]",,"[90.91|7.28|1.81]"
52,District Of Columbia,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[282830|12723|15715]",,"[90.86|4.09|5.05]"
53,District Of Columbia,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[317323|18586|1726|2036|4685]",,"[92.15|5.4|0.5|0.59|1.36]"
54,Florida,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[2911417|2911215|97426|40602]",29.0,"[48.84|48.84|1.63|0.68]"
55,Florida,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[3583544|3964522|61744]",29.0,"[47.09|52.1|0.81]"
56,Florida,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[4282366|4046212|63061]",29.0,"[51.03|48.22|0.75]"
57,Florida,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[4237756|4163447|72976]",29.0,"[50.01|49.13|0.86]"
58,Florida,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[4504975|4617886|297178]",29.0,"[47.82|49.02|3.15]"
59,Florida,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[5297045|5668731|14721|70324|16635]",29.0,"[47.86|51.22|0.13|0.64|0.15]"
60,Georgia,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1116230|1419720|13432|47422]",16.0,"[42.98|54.67|0.52|1.83]"
61,Georgia,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1366149|1914254|18387]",16.0,"[41.41|58.03|0.56]"
62,Georgia,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1844137|2048744|32397]",16.0,"[46.98|52.19|0.83]"
63,Georgia,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1773827|2078688|47535]",16.0,"[45.48|53.3|1.22]"
64,Georgia,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1877963|2089104|147644]",16.0,"[45.64|50.77|3.59]"
65,Georgia,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen']","[2474507|2461837|62138]",16.0,"[49.51|49.25|1.24]"
66,Hawaii,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[205242|137819|21614|3196]",4.0,"[55.79|37.46|5.88|0.87]"
67,Hawaii,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[231335|194116|3104]",4.0,"[53.98|45.3|0.72]"
68,Hawaii,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[325201|120429|7112]",4.0,"[71.83|26.6|1.57]"
69,Hawaii,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[306266|120937|7018]",4.0,"[70.53|27.85|1.62]"
70,Hawaii,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[266891|128847|33199]",4.0,"[62.22|30.04|7.74]"
71,Hawaii,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[366127|196855|3822|5539|2114]",4.0,"[63.73|34.27|0.67|0.96|0.37]"
72,Idaho,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[138637|336937|12292|13755]",4.0,"[27.64|67.17|2.45|2.74]"
73,Idaho,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[181098|409235|8043]",4.0,"[30.26|68.39|1.34]"
74,Idaho,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[236440|403012|15580]",4.0,"[36.1|61.53|2.38]"
75,Idaho,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[212787|420911|18576]",4.0,"[32.62|64.53|2.85]"
76,Idaho,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[189765|409055|91613]",4.0,"[27.48|59.25|13.27]"
77,Idaho,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[287021|554119|16404|9817]",4.0,"[33.09|63.89|1.89|1.13]"
78,Illinois,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[2589026|2019421|103759|29917]",20.0,"[54.6|42.58|2.19|0.63]"
79,Illinois,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[2891989|2346608|36818]",20.0,"[54.82|44.48|0.7]"
80,Illinois,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[3419673|2031527|71851]",20.0,"[61.92|36.78|1.3]"
81,Illinois,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[3019512|2135102|87277]",20.0,"[57.6|40.73|1.66]"
82,Illinois,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[3090729|2146015|321963]",20.0,"[55.6|38.61|5.79]"
83,Illinois,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[3471915|2446891|30578|66544|17816]",20.0,"[57.54|40.55|0.51|1.1|0.3]"
84,Indiana,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[901980|1245836|18506|32983]",11.0,"[41.01|56.65|0.84|1.5]"
85,Indiana,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[969011|1479438|19553]",11.0,"[39.26|59.94|0.79]"
86,Indiana,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1374039|1345648|31367]",11.0,"[49.95|48.91|1.14]"
87,Indiana,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1152887|1420543|51104]",11.0,"[43.93|54.13|1.95]"
88,Indiana,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1033126|1557286|144546]",11.0,"[37.77|56.94|5.29]"
89,Indiana,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1242416|1729519|989|59232|965]",11.0,"[40.96|57.02|0.03|1.95|0.03]"
90,Iowa,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[638517|634373|29374|13299]",6.0,"[48.54|48.22|2.23|1.01]"
91,Iowa,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[741898|751957|13053]",6.0,"[49.23|49.9|0.87]"
92,Iowa,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[828940|682379|25501]",6.0,"[53.94|44.4|1.66]"
93,Iowa,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[822544|730617|29019]",6.0,"[51.99|46.18|1.83]"
94,Iowa,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[653669|800983|111379]",6.0,"[41.74|51.15|7.11]"
95,Iowa,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[759061|902009|3075|19637|7089]",6.0,"[44.89|53.35|0.18|1.16|0.42]"
96,Kansas,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[399276|622332|36086|14522]",6.0,"[37.24|58.04|3.37|1.35]"
97,Kansas,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[434993|736456|16307]",6.0,"[36.62|62.0|1.37]"
98,Kansas,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[514765|699655|21452]",6.0,"[41.65|56.61|1.74]"
99,Kansas,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[439908|689809|26537]",6.0,"[38.05|59.66|2.3]"
100,Kansas,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[427005|671018|86380]",6.0,"[36.05|56.65|7.29]"
101,Kansas,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen']","[570323|771406|30574]",6.0,"[41.56|56.21|2.23]"
102,Kentucky,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[638898|872492|23192|9605]",8.0,"[41.37|56.5|1.5|0.62]"
103,Kentucky,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[712733|1069439|13688]",8.0,"[39.69|59.55|0.76]"
104,Kentucky,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[751985|1048462|26061]",8.0,"[41.17|57.4|1.43]"
105,Kentucky,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[679370|1087190|30652]",8.0,"[37.8|60.49|1.71]"
106,Kentucky,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[628854|1202971|92324]",8.0,"[32.68|62.52|4.8]"
107,Kentucky,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[772285|1326418|26217|10076]",8.0,"[36.17|62.13|1.23|0.47]"
108,Louisiana,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[792344|927871|20473|24968]",8.0,"[44.88|52.55|1.16|1.41]"
109,Louisiana,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[820299|1102169|20638]",8.0,"[42.22|56.72|1.06]"
110,Louisiana,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[781574|1148015|29496]",8.0,"[39.89|58.6|1.51]"
111,Louisiana,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[809141|1152262|32662]",8.0,"[40.58|57.78|1.64]"
112,Louisiana,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[780154|1178638|70240]",8.0,"[38.45|58.09|3.46]"
113,Louisiana,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[856034|1255776|21645|14607]",8.0,"[39.85|58.46|1.01|0.68]"
114,Maine,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[319951|286616|37127|8123]",4.0,"[49.09|43.97|5.7|1.25]"
115,Maine,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[364153|308997|13360]",4.0,"[53.04|45.01|1.95]"
116,Maine,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[421923|295273|13967]",4.0,"[57.71|40.38|1.91]"
117,Maine,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[401306|292276|19598]",4.0,"[56.27|40.98|2.75]"
118,Maine,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[357735|335593|54599]",4.0,"[47.83|44.87|7.3]"
119,Maine,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[430473|359899|8111|14005|10046]",4.0,"[52.33|43.75|0.99|1.7|1.22]"
120,Maryland,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1145782|813797|53768|12133]",10.0,"[56.57|40.18|2.65|0.6]"
121,Maryland,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1334493|1024703|27482]",10.0,"[55.91|42.93|1.15]"
122,Maryland,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1629467|959862|42267]",10.0,"[61.92|36.47|1.61]"
123,Maryland,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1677844|971869|57614]",10.0,"[61.97|35.9|2.13]"
124,Maryland,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1677928|943169|160349]",10.0,"[60.33|33.91|5.76]"
125,Maryland,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1985023|976414|15799|33488|26307]",10.0,"[65.36|32.15|0.52|1.1|0.87]"
126,Massachusetts,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1616487|878502|173564|34431]",11.0,"[59.8|32.5|6.42|1.27]"
127,Massachusetts,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1803800|1071109|37479]",11.0,"[61.94|36.78|1.29]"
128,Massachusetts,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1904103|1108885|68348]",11.0,"[61.79|35.99|2.22]"
129,Massachusetts,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1921290|1188314|58163]",11.0,"[60.65|37.51|1.84]"
130,Massachusetts,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1995196|1090893|188466]",11.0,"[60.93|33.31|5.76]"
131,Massachusetts,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[2382202|1167202|18658|47013|42930]",11.0,"[65.12|31.91|0.51|1.29|1.17]"
132,Michigan,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[2170418|1953139|84165|24989]",16.0,"[51.28|46.14|1.99|0.59]"
133,Michigan,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[2479183|2313746|46323]",16.0,"[51.23|47.81|0.96]"
134,Michigan,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[2872579|2048639|80548]",16.0,"[57.43|40.96|1.61]"
135,Michigan,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[2564569|2115256|51136]",16.0,"[54.21|44.71|1.08]"
136,Michigan,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[2268839|2279543|250902]",16.0,"[47.27|47.5|5.23]"
137,Michigan,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[2804040|2649852|13718|60381|11311]",16.0,"[50.62|47.84|0.25|1.09|0.2]"
138,Minnesota,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1168266|1109659|126696|34064]",10.0,"[47.91|45.5|5.2|1.4]"
139,Minnesota,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1444751|1346451|36648]",10.0,"[51.09|47.61|1.3]"
140,Minnesota,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1573354|1275409|61606]",10.0,"[54.06|43.82|2.12]"
141,Minnesota,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1546167|1320225|70169]",10.0,"[52.65|44.96|2.39]"
142,Minnesota,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1367716|1322951|254146]",10.0,"[46.44|44.92|8.63]"
143,Minnesota,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1717077|1484065|10033|34976|31020]",10.0,"[52.4|45.28|0.31|1.07|0.95]"
144,Mississippi,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[404964|573230|8126|8606]",6.0,"[40.7|57.62|0.82|0.86]"
145,Mississippi,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[440034|666295|8530]",6.0,"[39.47|59.76|0.77]"
146,Mississippi,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[554662|724497|6100]",6.0,"[43.16|56.37|0.47]"
147,Mississippi,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[562949|710746|11889]",6.0,"[43.79|55.29|0.92]"
148,Mississippi,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[485131|700714|23512]",6.0,"[40.11|57.94|1.94]"
149,Mississippi,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[539398|756764|1498|8026|8073]",6.0,"[41.06|57.6|0.11|0.61|0.61]"
150,Missouri,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1111138|1189924|38515|20315]",10.0,"[47.08|50.42|1.63|0.86]"
151,Missouri,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1259171|1455713|16480]",10.0,"[46.1|53.3|0.6]"
